class,image_url,parts
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3612.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3607.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3289.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12089.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/12.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19288.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3620.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12177.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12100.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3293.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19285.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12167.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12163.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6251.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
