class,image_url,parts
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/335.svg,"body,leaf/leaves,stem,reflections/shiny parts"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/340.svg,"body,leaf/leaves,stem,reflections/shiny parts"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12099.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12082.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3619.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12166.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19296.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3285.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/1.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/17.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3291.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3282.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12178.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6253.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6254.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19291.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
