class,image_url,parts
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19283.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12083.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12095.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12085.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12091.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/339.svg,"body,leaf/leaves,stem,reflections/shiny parts"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/15.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6259.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3294.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/23.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3297.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3281.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19298.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3609.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12096.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12087.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
