class,image_url,parts
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6260.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6244.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6252.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19292.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19295.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6258.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12176.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3298.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12174.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12090.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12092.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6242.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12171.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12180.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/322.svg,"body,leaf/leaves,stem,reflections/shiny parts"
