class,image_url,parts
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3288.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3283.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/329.svg,"body,leaf/leaves,stem,reflections/shiny parts"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/333.svg,"body,leaf/leaves,stem,reflections/shiny parts"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19284.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12098.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12093.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12081.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3617.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3610.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12097.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12088.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3300.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/325.svg,"body,leaf/leaves,stem,reflections/shiny parts"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3284.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19299.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19300.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
