class,image_url,parts
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3605.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3601.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/334.svg,"body,leaf/leaves,stem,reflections/shiny parts"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/328.svg,"body,leaf/leaves,stem,reflections/shiny parts"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/16.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/11.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12094.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12173.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/2.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19293.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12086.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6249.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6247.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3606.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3614.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/24.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3615.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
