class,image_url,parts
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12164.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-sitting,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-sitting/12084.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck,sitting surface"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/330.svg,"body,leaf/leaves,stem,reflections/shiny parts"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3611.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/336.svg,"body,leaf/leaves,stem,reflections/shiny parts"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3616.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3299.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3287.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
face,https://cs.brown.edu/people/jchua/sketchy/svgSubset/face/6250.svg,"head/skull,right eye,left eye,right eyebrow,left eyebrow,nose,mouth,right ear,left ear,hair"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/13.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/20.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19281.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19289.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/327.svg,"body,leaf/leaves,stem,reflections/shiny parts"
camera,https://cs.brown.edu/people/jchua/sketchy/svgSubset/camera/3290.svg,"camera body,lens,flash,shutter release button,viewfinder,camera strap,camera LCD display,camera controls,"
