class,image_url,parts
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19286.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12175.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12169.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/338.svg,"body,leaf/leaves,stem,reflections/shiny parts"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/332.svg,"body,leaf/leaves,stem,reflections/shiny parts"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19294.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19282.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12161.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
apple,https://cs.brown.edu/people/jchua/sketchy/svgSubset/apple/324.svg,"body,leaf/leaves,stem,reflections/shiny parts"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3602.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3613.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12162.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
person-walking,https://cs.brown.edu/people/jchua/sketchy/svgSubset/person-walking/12179.svg,"head,right arm,left arm,right leg,left leg,right hand,left hand,right foot,left foot,body,hair,neck"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/26.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
violin,https://cs.brown.edu/people/jchua/sketchy/svgSubset/violin/19287.svg,"violin body,fingerboard,violin scroll,strings,f-hole,sound hole,bow,bridge,tailpiece,chin rest,string endpiece,button"
airplane,https://cs.brown.edu/people/jchua/sketchy/svgSubset/airplane/21.svg,"window(s),left wing,right wing,tail,cockpit,airplane body,exhaust,engine(s),landing gear(s),propeller,door(s),other"
car,https://cs.brown.edu/people/jchua/sketchy/svgSubset/car/3618.svg,"car body,hood,wheel(s),window(s),car door(s),headlight(s),grill"
